timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,33.19,31.85,-0.0,1.34
2025-01-01 01:00:00-05:00,32.07,30.81,-0.0,1.26
2025-01-01 02:00:00-05:00,30.05,28.87,-0.0,1.18
2025-01-01 03:00:00-05:00,28.41,27.26,-0.0,1.15
2025-01-01 04:00:00-05:00,28.3,27.19,-0.0,1.11
2025-01-01 05:00:00-05:00,30.3,29.08,-0.0,1.22
2025-01-01 06:00:00-05:00,31.1,29.76,-0.0,1.34
2025-01-01 07:00:00-05:00,30.97,29.64,-0.0,1.33
2025-01-01 08:00:00-05:00,33.43,31.9,-0.0,1.53
2025-01-01 09:00:00-05:00,33.97,32.379999999999995,-0.0,1.59
2025-01-01 10:00:00-05:00,37.03,35.27,-0.0,1.76
2025-01-01 11:00:00-05:00,37.3,35.459999999999994,-0.0,1.84
2025-01-01 12:00:00-05:00,38.14,36.22,-0.0,1.92
2025-01-01 13:00:00-05:00,38.65,36.67,-0.0,1.98
2025-01-01 14:00:00-05:00,38.96,37.04,-0.0,1.92
2025-01-01 15:00:00-05:00,38.79,36.8,-0.0,1.99
2025-01-01 16:00:00-05:00,41.82,39.72,-0.0,2.1
2025-01-01 17:00:00-05:00,53.33,50.5,-0.0,2.83
2025-01-01 18:00:00-05:00,45.86,43.47,-0.0,2.39
2025-01-01 19:00:00-05:00,42.89,40.66,-0.0,2.23
2025-01-01 20:00:00-05:00,40.35,38.25,-0.0,2.1
2025-01-01 21:00:00-05:00,35.93,34.03,-0.0,1.9
2025-01-01 22:00:00-05:00,33.1,31.41,-0.0,1.69
2025-01-01 23:00:00-05:00,33.13,31.49,-0.0,1.64
2025-01-02 00:00:00-05:00,36.8,34.919999999999995,-0.0,1.88
2025-01-02 01:00:00-05:00,36.14,34.32,-0.0,1.82
2025-01-02 02:00:00-05:00,33.17,31.53,-0.0,1.64
2025-01-02 03:00:00-05:00,31.42,29.840000000000003,-0.0,1.58
2025-01-02 04:00:00-05:00,34.17,32.42,-0.0,1.75
