timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,33.19,31.85,-0.0,1.34
2025-01-01 01:00:00-05:00,32.13,30.81,-0.0,1.32
2025-01-01 02:00:00-05:00,30.13,28.86,-0.0,1.27
2025-01-01 03:00:00-05:00,28.33,27.27,-0.0,1.06
2025-01-01 04:00:00-05:00,28.24,27.18,-0.0,1.06
2025-01-01 05:00:00-05:00,30.3,29.08,-0.0,1.22
2025-01-01 06:00:00-05:00,31.13,29.76,-0.0,1.37
2025-01-01 07:00:00-05:00,31.17,29.630000000000003,-0.0,1.54
2025-01-01 08:00:00-05:00,33.56,31.9,-0.0,1.66
2025-01-01 09:00:00-05:00,34.16,32.379999999999995,-0.0,1.78
2025-01-01 10:00:00-05:00,37.21,35.27,-0.0,1.94
2025-01-01 11:00:00-05:00,37.59,35.46,-0.0,2.13
2025-01-01 12:00:00-05:00,38.43,36.22,-0.0,2.21
2025-01-01 13:00:00-05:00,39.02,36.67,-0.0,2.35
2025-01-01 14:00:00-05:00,39.4,37.03,-0.0,2.37
2025-01-01 15:00:00-05:00,39.27,36.8,-0.0,2.47
2025-01-01 16:00:00-05:00,42.58,39.72,-0.0,2.86
2025-01-01 17:00:00-05:00,54.29,50.5,-0.0,3.79
2025-01-01 18:00:00-05:00,46.69,43.47,-0.0,3.22
2025-01-01 19:00:00-05:00,43.71,40.66,-0.0,3.05
2025-01-01 20:00:00-05:00,41.07,38.24,-0.0,2.83
2025-01-01 21:00:00-05:00,36.5,34.02,-0.0,2.48
2025-01-01 22:00:00-05:00,33.69,31.4,-0.0,2.29
2025-01-01 23:00:00-05:00,33.54,31.49,-0.0,2.05
2025-01-02 00:00:00-05:00,37.04,34.91,-0.0,2.13
2025-01-02 01:00:00-05:00,36.31,34.32,-0.0,1.99
2025-01-02 02:00:00-05:00,33.36,31.53,-0.0,1.83
2025-01-02 03:00:00-05:00,31.63,29.84,-0.0,1.79
2025-01-02 04:00:00-05:00,34.37,32.419999999999995,-0.0,1.95
2025-01-02 05:00:00-05:00,37.8,35.629999999999995,-0.0,2.17
2025-01-02 06:00:00-05:00,41.76,38.16,0.93,2.67
2025-01-02 07:00:00-05:00,49.81,41.6,5.13,3.08
2025-01-02 08:00:00-05:00,49.36,41.56,4.68,3.12
2025-01-02 09:00:00-05:00,47.06,41.12,2.77,3.17
2025-01-02 10:00:00-05:00,46.47,41.87,1.29,3.31
2025-01-02 11:00:00-05:00,45.29,40.919999999999995,1.09,3.28
2025-01-02 12:00:00-05:00,44.01,40.08,0.69,3.24
2025-01-02 13:00:00-05:00,45.54,41.379999999999995,0.77,3.39
2025-01-02 14:00:00-05:00,46.26,41.11,1.78,3.37
2025-01-02 15:00:00-05:00,51.23,43.32,4.36,3.55
2025-01-02 16:00:00-05:00,61.22,49.55,7.41,4.26
2025-01-02 17:00:00-05:00,70.05,55.1,9.99,4.96
2025-01-02 18:00:00-05:00,65.38,55.04,5.55,4.79
2025-01-02 19:00:00-05:00,58.15,49.239999999999995,4.77,4.14
2025-01-02 20:00:00-05:00,55.68,49.04,2.67,3.97
