timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,33.16,31.85,-0.0,1.31
2025-01-01 01:00:00-05:00,32.07,30.81,-0.0,1.26
2025-01-01 02:00:00-05:00,30.02,28.86,-0.0,1.16
2025-01-01 03:00:00-05:00,28.28,27.27,-0.0,1.01
2025-01-01 04:00:00-05:00,28.22,27.19,-0.0,1.03
2025-01-01 05:00:00-05:00,30.27,29.08,-0.0,1.19
2025-01-01 06:00:00-05:00,31.07,29.76,-0.0,1.31
2025-01-01 07:00:00-05:00,31.05,29.630000000000003,-0.0,1.42
2025-01-01 08:00:00-05:00,33.46,31.9,-0.0,1.56
2025-01-01 09:00:00-05:00,34.0,32.38,-0.0,1.62
2025-01-01 10:00:00-05:00,37.0,35.27,-0.0,1.73
2025-01-01 11:00:00-05:00,37.38,35.470000000000006,-0.0,1.91
2025-01-01 12:00:00-05:00,38.14,36.22,-0.0,1.92
2025-01-01 13:00:00-05:00,38.72,36.67,-0.0,2.05
2025-01-01 14:00:00-05:00,39.14,37.03,-0.0,2.11
2025-01-01 15:00:00-05:00,39.05,36.8,-0.0,2.25
2025-01-01 16:00:00-05:00,42.34,39.720000000000006,-0.0,2.62
2025-01-01 17:00:00-05:00,54.03,50.5,-0.0,3.53
2025-01-01 18:00:00-05:00,46.47,43.47,-0.0,3.0
2025-01-01 19:00:00-05:00,43.42,40.65,-0.0,2.77
2025-01-01 20:00:00-05:00,40.85,38.25,-0.0,2.6
2025-01-01 21:00:00-05:00,36.3,34.019999999999996,-0.0,2.28
2025-01-01 22:00:00-05:00,33.47,31.4,-0.0,2.07
2025-01-01 23:00:00-05:00,33.32,31.49,-0.0,1.83
2025-01-02 00:00:00-05:00,36.8,34.919999999999995,-0.0,1.88
2025-01-02 01:00:00-05:00,36.14,34.32,-0.0,1.82
2025-01-02 02:00:00-05:00,33.17,31.53,-0.0,1.64
2025-01-02 03:00:00-05:00,31.42,29.840000000000003,-0.0,1.58
2025-01-02 04:00:00-05:00,34.17,32.42,-0.0,1.75
2025-01-02 05:00:00-05:00,37.62,35.629999999999995,-0.0,1.99
2025-01-02 06:00:00-05:00,41.86,38.15,1.15,2.56
2025-01-02 07:00:00-05:00,50.87,41.6,6.4,2.87
2025-01-02 08:00:00-05:00,50.27,41.56,5.8,2.91
2025-01-02 09:00:00-05:00,46.98,41.12,2.94,2.92
2025-01-02 10:00:00-05:00,46.21,41.870000000000005,1.37,2.97
2025-01-02 11:00:00-05:00,45.03,40.92,1.16,2.95
2025-01-02 12:00:00-05:00,43.73,40.06999999999999,0.74,2.92
2025-01-02 13:00:00-05:00,45.22,41.379999999999995,0.82,3.02
2025-01-02 14:00:00-05:00,46.04,41.11,1.89,3.04
2025-01-02 15:00:00-05:00,51.19,43.309999999999995,4.63,3.25
2025-01-02 16:00:00-05:00,61.37,49.54,7.86,3.97
2025-01-02 17:00:00-05:00,70.8,55.1,11.18,4.52
2025-01-02 18:00:00-05:00,65.6,55.05,6.04,4.51
2025-01-02 19:00:00-05:00,59.0,49.25,5.86,3.89
2025-01-02 20:00:00-05:00,55.93,49.04,3.21,3.68
2025-01-02 21:00:00-05:00,51.01,45.85,1.82,3.34
2025-01-02 22:00:00-05:00,46.35,43.28,-0.0,3.07
2025-01-02 23:00:00-05:00,43.63,41.040000000000006,-0.0,2.59
2025-01-03 00:00:00-05:00,43.83,41.39,-0.0,2.44
2025-01-03 01:00:00-05:00,41.71,39.42,-0.0,2.29
2025-01-03 02:00:00-05:00,40.99,38.78,-0.0,2.21
2025-01-03 03:00:00-05:00,41.75,39.42,-0.0,2.33
2025-01-03 04:00:00-05:00,43.01,40.61,-0.0,2.4
2025-01-03 05:00:00-05:00,49.25,46.55,-0.0,2.7
2025-01-03 06:00:00-05:00,57.23,53.94,-0.0,3.29
2025-01-03 07:00:00-05:00,59.48,54.98,0.65,3.85
2025-01-03 08:00:00-05:00,55.88,55.04,-3.23,4.07
2025-01-03 09:00:00-05:00,52.0,54.15,-5.83,3.68
2025-01-03 10:00:00-05:00,53.68,52.51,-2.29,3.46
2025-01-03 11:00:00-05:00,53.46,52.25,-2.29,3.5
2025-01-03 12:00:00-05:00,51.65,50.85,-2.5,3.3
2025-01-03 13:00:00-05:00,52.89,51.879999999999995,-2.62,3.63
2025-01-03 14:00:00-05:00,56.0,54.98,-3.11,4.13
2025-01-03 15:00:00-05:00,55.39,55.27,-4.19,4.31
2025-01-03 16:00:00-05:00,66.74,55.31999999999999,6.88,4.54
2025-01-03 17:00:00-05:00,81.51,58.61,17.98,4.92
2025-01-03 18:00:00-05:00,76.0,57.93,13.15,4.92
2025-01-03 19:00:00-05:00,63.74,55.5,3.86,4.38
2025-01-03 20:00:00-05:00,62.0,55.27,2.42,4.31
2025-01-03 21:00:00-05:00,58.42,54.65,-0.0,3.77
2025-01-03 22:00:00-05:00,57.63,54.21,-0.0,3.42
2025-01-03 23:00:00-05:00,57.82,54.55,-0.0,3.27
2025-01-04 00:00:00-05:00,55.34,51.96,-0.0,3.38
2025-01-04 01:00:00-05:00,52.7,49.580000000000005,-0.0,3.12
2025-01-04 02:00:00-05:00,50.61,47.61,-0.0,3.0
2025-01-04 03:00:00-05:00,51.67,48.52,-0.0,3.15
2025-01-04 04:00:00-05:00,51.93,48.76,-0.0,3.17
2025-01-04 05:00:00-05:00,53.19,49.919999999999995,0.03,3.24
2025-01-04 06:00:00-05:00,53.14,49.63,0.19,3.32
2025-01-04 07:00:00-05:00,57.64,53.97,-0.0,3.67
2025-01-04 08:00:00-05:00,60.62,54.82,2.07,3.73
2025-01-04 09:00:00-05:00,62.98,55.09,3.81,4.08
2025-01-04 10:00:00-05:00,67.41,55.32999999999999,7.88,4.2
2025-01-04 11:00:00-05:00,67.44,55.39,7.84,4.21
2025-01-04 12:00:00-05:00,66.72,55.26,7.31,4.15
2025-01-04 13:00:00-05:00,66.09,55.2,6.8,4.09
2025-01-04 14:00:00-05:00,70.23,55.26,10.88,4.09
2025-01-04 15:00:00-05:00,74.67,55.379999999999995,15.03,4.26
2025-01-04 16:00:00-05:00,85.85,58.029999999999994,23.18,4.64
2025-01-04 17:00:00-05:00,109.73,67.35000000000001,36.72,5.66
2025-01-04 18:00:00-05:00,100.85,66.19999999999999,29.22,5.43
2025-01-04 19:00:00-05:00,91.02,57.40999999999999,28.96,4.65
2025-01-04 20:00:00-05:00,88.49,55.32999999999999,28.96,4.2
2025-01-04 21:00:00-05:00,77.92,55.21,18.57,4.14
2025-01-04 22:00:00-05:00,73.5,55.1,14.32,4.08
2025-01-04 23:00:00-05:00,68.44,54.98,9.5,3.96
2025-01-05 00:00:00-05:00,79.04,73.41000000000001,0.42,5.21
2025-01-05 01:00:00-05:00,79.25,73.85000000000001,0.16,5.24
2025-01-05 02:00:00-05:00,75.97,67.5,3.88,4.59
2025-01-05 03:00:00-05:00,71.51,64.74,2.37,4.4
2025-01-05 04:00:00-05:00,71.62,66.94,-0.0,4.68
2025-01-05 05:00:00-05:00,71.84,67.21000000000001,-0.0,4.63
2025-01-05 06:00:00-05:00,75.86,70.97,-0.0,4.89
2025-01-05 07:00:00-05:00,77.28,54.17999999999999,19.2,3.9
2025-01-05 08:00:00-05:00,80.19,59.18,16.57,4.44
2025-01-05 09:00:00-05:00,81.54,66.56000000000002,9.99,4.99
2025-01-05 10:00:00-05:00,85.42,74.14,5.94,5.34
2025-01-05 11:00:00-05:00,85.22,73.99,6.05,5.18
2025-01-05 12:00:00-05:00,83.73,72.33,6.48,4.92
2025-01-05 13:00:00-05:00,84.88,73.69,6.03,5.16
2025-01-05 14:00:00-05:00,86.06,73.99000000000001,6.82,5.25
2025-01-05 15:00:00-05:00,87.24,73.91999999999999,8.15,5.17
2025-01-05 16:00:00-05:00,109.7,85.59,18.12,5.99
2025-01-05 17:00:00-05:00,132.59,104.93,20.0,7.66
2025-01-05 18:00:00-05:00,124.59,100.7,16.44,7.45
2025-01-05 19:00:00-05:00,111.24,89.91999999999999,14.76,6.56
2025-01-05 20:00:00-05:00,109.29,93.32,9.44,6.53
2025-01-05 21:00:00-05:00,97.16,86.16,5.06,5.94
2025-01-05 22:00:00-05:00,90.62,83.60000000000001,1.42,5.6
2025-01-05 23:00:00-05:00,92.69,87.19,-0.0,5.5
2025-01-06 00:00:00-05:00,98.5,88.36,4.22,5.92
2025-01-06 01:00:00-05:00,96.38,81.27,9.9,5.21
2025-01-06 02:00:00-05:00,94.68,81.02000000000001,8.64,5.02
2025-01-06 03:00:00-05:00,95.05,85.17,4.6,5.28
2025-01-06 04:00:00-05:00,95.13,89.13999999999999,0.2,5.79
2025-01-06 05:00:00-05:00,108.85,81.59,22.94,4.32
2025-01-06 06:00:00-05:00,116.02,90.62,20.15,5.25
2025-01-06 07:00:00-05:00,144.87,89.82999999999998,49.74,5.3
2025-01-06 08:00:00-05:00,141.59,103.06,31.93,6.6
2025-01-06 09:00:00-05:00,138.74,91.49,41.31,5.94
2025-01-06 10:00:00-05:00,150.58,118.08,24.47,8.03
2025-01-06 11:00:00-05:00,133.15,112.22,12.96,7.97
2025-01-06 12:00:00-05:00,127.22,101.53,18.69,7.0
2025-01-06 13:00:00-05:00,125.1,83.71,35.53,5.86
2025-01-06 14:00:00-05:00,126.82,85.82999999999998,34.98,6.01
2025-01-06 15:00:00-05:00,134.27,79.83000000000001,49.09,5.35
2025-01-06 16:00:00-05:00,151.47,81.42999999999998,64.43,5.61
2025-01-06 17:00:00-05:00,176.45,97.64999999999998,71.97,6.83
2025-01-06 18:00:00-05:00,171.09,86.89000000000001,78.03,6.17
2025-01-06 19:00:00-05:00,160.02,71.67000000000002,83.34,5.01
2025-01-06 20:00:00-05:00,133.41,74.37,52.94,6.1
2025-01-06 21:00:00-05:00,126.17,74.88,45.23,6.06
2025-01-06 22:00:00-05:00,123.92,80.13,37.14,6.65
2025-01-06 23:00:00-05:00,115.25,79.44,29.69,6.12
2025-01-07 00:00:00-05:00,120.64,70.6,44.89,5.15
2025-01-07 01:00:00-05:00,108.81,70.38,33.5,4.93
2025-01-07 02:00:00-05:00,114.45,70.25,39.57,4.63
