timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,32.11,31.86,-0.0,0.25
2025-01-01 01:00:00-05:00,31.05,30.8,-0.0,0.25
2025-01-01 02:00:00-05:00,29.07,28.87,-0.0,0.2
2025-01-01 03:00:00-05:00,27.49,27.27,-0.0,0.22
2025-01-01 04:00:00-05:00,27.4,27.18,-0.0,0.22
2025-01-01 05:00:00-05:00,29.34,29.08,-0.0,0.26
2025-01-01 06:00:00-05:00,29.91,29.76,-0.0,0.15
2025-01-01 07:00:00-05:00,29.78,29.630000000000003,-0.0,0.15
2025-01-01 08:00:00-05:00,32.09,31.9,-0.0,0.19
2025-01-01 09:00:00-05:00,32.61,32.38,-0.0,0.23
2025-01-01 10:00:00-05:00,35.55,35.269999999999996,-0.0,0.28
2025-01-01 11:00:00-05:00,35.71,35.46,-0.0,0.25
2025-01-01 12:00:00-05:00,36.44,36.22,-0.0,0.22
2025-01-01 13:00:00-05:00,36.89,36.67,-0.0,0.22
2025-01-01 14:00:00-05:00,37.26,37.04,-0.0,0.22
2025-01-01 15:00:00-05:00,36.95,36.8,-0.0,0.15
2025-01-01 16:00:00-05:00,39.76,39.72,-0.0,0.04
2025-01-01 17:00:00-05:00,50.4,50.5,-0.0,-0.1
2025-01-01 18:00:00-05:00,43.43,43.47,-0.0,-0.04
2025-01-01 19:00:00-05:00,40.7,40.66,-0.0,0.04
2025-01-01 20:00:00-05:00,38.24,38.24,-0.0,0.0
2025-01-01 21:00:00-05:00,34.02,34.02,-0.0,0.0
2025-01-01 22:00:00-05:00,31.4,31.4,-0.0,0.0
2025-01-01 23:00:00-05:00,31.56,31.5,-0.0,0.06
2025-01-02 00:00:00-05:00,34.91,34.91,-0.0,0.0
2025-01-02 01:00:00-05:00,34.29,34.32,-0.0,-0.03
2025-01-02 02:00:00-05:00,31.5,31.53,-0.0,-0.03
2025-01-02 03:00:00-05:00,29.81,29.84,-0.0,-0.03
2025-01-02 04:00:00-05:00,32.39,32.42,-0.0,-0.03
2025-01-02 05:00:00-05:00,35.59,35.63,-0.0,-0.04
2025-01-02 06:00:00-05:00,38.0,38.15,-0.0,-0.15
2025-01-02 07:00:00-05:00,41.53,41.61,-0.0,-0.08
2025-01-02 08:00:00-05:00,41.44,41.559999999999995,-0.0,-0.12
2025-01-02 09:00:00-05:00,41.04,41.12,-0.0,-0.08
2025-01-02 10:00:00-05:00,41.7,41.870000000000005,-0.0,-0.17
2025-01-02 11:00:00-05:00,40.8,40.919999999999995,-0.0,-0.12
2025-01-02 12:00:00-05:00,39.95,40.07,-0.0,-0.12
2025-01-02 13:00:00-05:00,41.21,41.37,-0.0,-0.16
2025-01-02 14:00:00-05:00,40.9,41.1,-0.0,-0.2
2025-01-02 15:00:00-05:00,43.05,43.309999999999995,-0.0,-0.26
2025-01-02 16:00:00-05:00,49.1,49.55,-0.0,-0.45
2025-01-02 17:00:00-05:00,54.6,55.1,-0.0,-0.5
2025-01-02 18:00:00-05:00,54.6,55.04,-0.0,-0.44
2025-01-02 19:00:00-05:00,48.9,49.24,-0.0,-0.34
2025-01-02 20:00:00-05:00,48.8,49.04,-0.0,-0.24
2025-01-02 21:00:00-05:00,45.62,45.849999999999994,-0.0,-0.23
2025-01-02 22:00:00-05:00,43.1,43.27,-0.0,-0.17
2025-01-02 23:00:00-05:00,41.0,41.04,-0.0,-0.04
2025-01-03 00:00:00-05:00,41.48,41.4,-0.0,0.08
2025-01-03 01:00:00-05:00,39.5,39.42,-0.0,0.08
2025-01-03 02:00:00-05:00,38.85,38.77,-0.0,0.08
2025-01-03 03:00:00-05:00,39.5,39.42,-0.0,0.08
2025-01-03 04:00:00-05:00,40.7,40.620000000000005,-0.0,0.08
2025-01-03 05:00:00-05:00,46.5,46.55,-0.0,-0.05
2025-01-03 06:00:00-05:00,53.78,53.94,-0.0,-0.16
2025-01-03 07:00:00-05:00,54.6,54.98,-0.0,-0.38
2025-01-03 08:00:00-05:00,54.6,55.04,-0.0,-0.44
2025-01-03 09:00:00-05:00,53.99,54.15,-0.0,-0.16
