timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,32.43,31.86,-0.0,0.57
2025-01-01 01:00:00-05:00,31.36,30.8,-0.0,0.56
2025-01-01 02:00:00-05:00,29.41,28.86,-0.0,0.55
2025-01-01 03:00:00-05:00,27.81,27.26,-0.0,0.55
2025-01-01 04:00:00-05:00,27.7,27.18,-0.0,0.52
2025-01-01 05:00:00-05:00,29.63,29.08,-0.0,0.55
2025-01-01 06:00:00-05:00,30.41,29.76,-0.0,0.65
2025-01-01 07:00:00-05:00,30.25,29.63,-0.0,0.62
2025-01-01 08:00:00-05:00,32.6,31.9,-0.0,0.7
2025-01-01 09:00:00-05:00,33.16,32.379999999999995,-0.0,0.78
2025-01-01 10:00:00-05:00,36.12,35.269999999999996,-0.0,0.85
2025-01-01 11:00:00-05:00,36.21,35.46,-0.0,0.75
2025-01-01 12:00:00-05:00,36.98,36.22,-0.0,0.76
2025-01-01 13:00:00-05:00,37.44,36.669999999999995,-0.0,0.77
2025-01-01 14:00:00-05:00,37.81,37.03,-0.0,0.78
2025-01-01 15:00:00-05:00,37.65,36.8,-0.0,0.85
2025-01-01 16:00:00-05:00,40.71,39.72,-0.0,0.99
2025-01-01 17:00:00-05:00,51.86,50.5,-0.0,1.36
2025-01-01 18:00:00-05:00,44.52,43.48,-0.0,1.04
2025-01-01 19:00:00-05:00,41.55,40.66,-0.0,0.89
2025-01-01 20:00:00-05:00,39.01,38.25,-0.0,0.76
2025-01-01 21:00:00-05:00,34.67,34.03,-0.0,0.64
2025-01-01 22:00:00-05:00,31.97,31.4,-0.0,0.57
2025-01-01 23:00:00-05:00,32.0,31.5,-0.0,0.5
2025-01-02 00:00:00-05:00,35.54,34.91,-0.0,0.63
2025-01-02 01:00:00-05:00,34.94,34.32,-0.0,0.62
2025-01-02 02:00:00-05:00,32.13,31.53,-0.0,0.6
2025-01-02 03:00:00-05:00,30.38,29.84,-0.0,0.54
2025-01-02 04:00:00-05:00,32.98,32.43,-0.0,0.55
2025-01-02 05:00:00-05:00,36.37,35.62,-0.0,0.75
2025-01-02 06:00:00-05:00,39.78,38.15,0.56,1.07
2025-01-02 07:00:00-05:00,46.53,41.61000000000001,3.3,1.62
2025-01-02 08:00:00-05:00,46.23,41.56,3.05,1.62
2025-01-02 09:00:00-05:00,43.63,41.120000000000005,1.11,1.4
2025-01-02 10:00:00-05:00,43.77,41.87,0.52,1.38
2025-01-02 11:00:00-05:00,42.63,40.92,0.44,1.27
2025-01-02 12:00:00-05:00,41.55,40.06999999999999,0.28,1.2
2025-01-02 13:00:00-05:00,43.01,41.379999999999995,0.31,1.32
2025-01-02 14:00:00-05:00,43.17,41.11,0.71,1.35
2025-01-02 15:00:00-05:00,46.7,43.3,1.75,1.65
