timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,33.19,31.85,-0.0,1.34
2025-01-01 01:00:00-05:00,32.1,30.81,-0.0,1.29
2025-01-01 02:00:00-05:00,30.1,28.860000000000003,-0.0,1.24
2025-01-01 03:00:00-05:00,28.3,27.26,-0.0,1.04
2025-01-01 04:00:00-05:00,28.24,27.18,-0.0,1.06
2025-01-01 05:00:00-05:00,30.27,29.08,-0.0,1.19
2025-01-01 06:00:00-05:00,31.1,29.76,-0.0,1.34
2025-01-01 07:00:00-05:00,31.08,29.63,-0.0,1.45
2025-01-01 08:00:00-05:00,33.49,31.9,-0.0,1.59
2025-01-01 09:00:00-05:00,34.1,32.38,-0.0,1.72
2025-01-01 10:00:00-05:00,37.14,35.27,-0.0,1.87
2025-01-01 11:00:00-05:00,37.55,35.459999999999994,-0.0,2.09
2025-01-01 12:00:00-05:00,38.32,36.22,-0.0,2.1
2025-01-01 13:00:00-05:00,38.9,36.66,-0.0,2.24
2025-01-01 14:00:00-05:00,39.29,37.03,-0.0,2.26
2025-01-01 15:00:00-05:00,39.19,36.8,-0.0,2.39
2025-01-01 16:00:00-05:00,42.5,39.72,-0.0,2.78
2025-01-01 17:00:00-05:00,54.19,50.51,-0.0,3.68
2025-01-01 18:00:00-05:00,46.65,43.48,-0.0,3.17
2025-01-01 19:00:00-05:00,43.66,40.65,-0.0,3.01
2025-01-01 20:00:00-05:00,41.0,38.24,-0.0,2.76
2025-01-01 21:00:00-05:00,36.44,34.019999999999996,-0.0,2.42
2025-01-01 22:00:00-05:00,33.6,31.4,-0.0,2.2
2025-01-01 23:00:00-05:00,33.42,31.5,-0.0,1.92
2025-01-02 00:00:00-05:00,36.97,34.91,-0.0,2.06
2025-01-02 01:00:00-05:00,36.28,34.32,-0.0,1.96
2025-01-02 02:00:00-05:00,33.32,31.52,-0.0,1.8
2025-01-02 03:00:00-05:00,31.6,29.84,-0.0,1.76
2025-01-02 04:00:00-05:00,34.34,32.43000000000001,-0.0,1.91
2025-01-02 05:00:00-05:00,37.8,35.629999999999995,-0.0,2.17
2025-01-02 06:00:00-05:00,41.78,38.15,0.96,2.67
2025-01-02 07:00:00-05:00,49.88,41.6,5.24,3.04
2025-01-02 08:00:00-05:00,49.46,41.56,4.78,3.12
2025-01-02 09:00:00-05:00,47.01,41.11,2.81,3.09
2025-01-02 10:00:00-05:00,46.4,41.87,1.31,3.22
2025-01-02 11:00:00-05:00,45.22,40.92,1.11,3.19
2025-01-02 12:00:00-05:00,43.94,40.08,0.7,3.16
2025-01-02 13:00:00-05:00,45.43,41.379999999999995,0.78,3.27
2025-01-02 14:00:00-05:00,46.2,41.1,1.81,3.29
2025-01-02 15:00:00-05:00,51.2,43.31,4.42,3.47
2025-01-02 16:00:00-05:00,61.22,49.55,7.51,4.16
2025-01-02 17:00:00-05:00,70.16,55.099999999999994,10.16,4.9
2025-01-02 18:00:00-05:00,65.36,55.04,5.64,4.68
2025-01-02 19:00:00-05:00,58.2,49.25000000000001,4.87,4.08
2025-01-02 20:00:00-05:00,55.69,49.04,2.72,3.93
2025-01-02 21:00:00-05:00,50.94,45.85,1.51,3.58
2025-01-02 22:00:00-05:00,46.52,43.27,-0.0,3.25
2025-01-02 23:00:00-05:00,43.79,41.04,-0.0,2.75
2025-01-03 00:00:00-05:00,44.0,41.39,-0.0,2.61
2025-01-03 01:00:00-05:00,41.83,39.42,-0.0,2.41
2025-01-03 02:00:00-05:00,41.1,38.77,-0.0,2.33
2025-01-03 03:00:00-05:00,41.83,39.42,-0.0,2.41
2025-01-03 04:00:00-05:00,43.09,40.61000000000001,-0.0,2.48
2025-01-03 05:00:00-05:00,49.29,46.54,-0.0,2.75
2025-01-03 06:00:00-05:00,57.34,53.940000000000005,-0.0,3.4
2025-01-03 07:00:00-05:00,59.84,54.98,0.68,4.18
2025-01-03 08:00:00-05:00,63.32,55.05,3.76,4.51
2025-01-03 09:00:00-05:00,65.0,54.15,6.79,4.06
2025-01-03 10:00:00-05:00,59.05,52.5,2.66,3.89
2025-01-03 11:00:00-05:00,58.9,52.26,2.67,3.97
2025-01-03 12:00:00-05:00,57.51,50.85,2.9,3.76
