timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,33.13,31.85,-0.0,1.28
2025-01-01 01:00:00-05:00,32.04,30.81,-0.0,1.23
2025-01-01 02:00:00-05:00,30.02,28.86,-0.0,1.16
2025-01-01 03:00:00-05:00,30.33,27.27,2.0,1.06
2025-01-01 04:00:00-05:00,31.06,27.18,2.79,1.09
2025-01-01 05:00:00-05:00,31.45,29.08,1.18,1.19
2025-01-01 06:00:00-05:00,32.84,29.760000000000005,1.77,1.31
2025-01-01 07:00:00-05:00,37.29,29.63,6.3,1.36
2025-01-01 08:00:00-05:00,37.73,31.9,4.33,1.5
2025-01-01 09:00:00-05:00,36.99,32.39000000000001,3.05,1.55
2025-01-01 10:00:00-05:00,40.35,35.27,3.35,1.73
2025-01-01 11:00:00-05:00,40.26,35.459999999999994,2.92,1.88
2025-01-01 12:00:00-05:00,39.88,36.22,1.78,1.88
2025-01-01 13:00:00-05:00,39.8,36.67,1.15,1.98
2025-01-01 14:00:00-05:00,42.7,37.03,3.67,2.0
2025-01-01 15:00:00-05:00,41.0,36.8,2.14,2.06
2025-01-01 16:00:00-05:00,45.5,39.720000000000006,3.48,2.3
2025-01-01 17:00:00-05:00,53.53,50.5,-0.0,3.03
2025-01-01 18:00:00-05:00,49.53,43.48,3.4,2.65
2025-01-01 19:00:00-05:00,46.99,40.66,3.81,2.52
2025-01-01 20:00:00-05:00,44.69,38.25,4.07,2.37
2025-01-01 21:00:00-05:00,41.64,34.02,5.51,2.11
2025-01-01 22:00:00-05:00,38.62,31.399999999999995,5.27,1.95
2025-01-01 23:00:00-05:00,36.03,31.5,2.74,1.79
2025-01-02 00:00:00-05:00,40.91,34.91,4.08,1.92
2025-01-02 01:00:00-05:00,41.27,34.33,5.09,1.85
2025-01-02 02:00:00-05:00,37.35,31.53,4.12,1.7
2025-01-02 03:00:00-05:00,37.18,29.84,5.7,1.64
2025-01-02 04:00:00-05:00,39.21,32.43,5.0,1.78
2025-01-02 05:00:00-05:00,43.6,35.63,6.05,1.92
2025-01-02 06:00:00-05:00,50.77,38.16,10.4,2.21
2025-01-02 07:00:00-05:00,57.71,41.61,13.69,2.41
2025-01-02 08:00:00-05:00,56.43,41.57,12.49,2.37
2025-01-02 09:00:00-05:00,48.2,41.120000000000005,4.65,2.43
2025-01-02 10:00:00-05:00,46.6,41.88,2.17,2.55
2025-01-02 11:00:00-05:00,45.26,40.919999999999995,1.84,2.5
2025-01-02 12:00:00-05:00,43.76,40.059999999999995,1.17,2.53
2025-01-02 13:00:00-05:00,45.24,41.38,1.29,2.57
2025-01-02 14:00:00-05:00,46.65,41.1,3.0,2.55
