timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,37.11,31.86,3.82,1.43
2025-01-01 01:00:00-05:00,36.22,30.809999999999995,3.96,1.45
2025-01-01 02:00:00-05:00,34.4,28.86,4.15,1.39
2025-01-01 03:00:00-05:00,28.42,27.26,0.01,1.15
2025-01-01 04:00:00-05:00,28.31,27.19,0.01,1.11
2025-01-01 05:00:00-05:00,32.35,29.08,1.96,1.31
2025-01-01 06:00:00-05:00,31.17,29.76,0.01,1.4
2025-01-01 07:00:00-05:00,35.29,29.630000000000003,4.0,1.66
2025-01-01 08:00:00-05:00,37.13,31.890000000000004,3.45,1.79
2025-01-01 09:00:00-05:00,37.64,32.379999999999995,3.38,1.88
2025-01-01 10:00:00-05:00,40.27,35.28,2.95,2.04
2025-01-01 11:00:00-05:00,40.6,35.46,2.9,2.24
2025-01-01 12:00:00-05:00,41.3,36.23,2.79,2.28
2025-01-01 13:00:00-05:00,41.8,36.669999999999995,2.71,2.42
2025-01-01 14:00:00-05:00,42.17,37.03,2.66,2.48
2025-01-01 15:00:00-05:00,42.2,36.81,2.78,2.61
2025-01-01 16:00:00-05:00,45.25,39.73,2.54,2.98
2025-01-01 17:00:00-05:00,55.74,50.50000000000001,1.4,3.84
2025-01-01 18:00:00-05:00,49.21,43.48,2.47,3.26
2025-01-01 19:00:00-05:00,46.66,40.64999999999999,2.92,3.09
2025-01-01 20:00:00-05:00,44.31,38.24000000000001,3.16,2.91
2025-01-01 21:00:00-05:00,40.08,34.02,3.44,2.62
2025-01-01 22:00:00-05:00,37.77,31.410000000000004,3.85,2.51
2025-01-01 23:00:00-05:00,37.51,31.499999999999993,3.74,2.27
2025-01-02 00:00:00-05:00,39.83,34.91,2.65,2.27
2025-01-02 01:00:00-05:00,39.24,34.32,2.76,2.16
2025-01-02 02:00:00-05:00,36.59,31.53,3.07,1.99
2025-01-02 03:00:00-05:00,33.33,29.839999999999996,1.55,1.94
2025-01-02 04:00:00-05:00,37.53,32.42,3.03,2.08
2025-01-02 05:00:00-05:00,40.48,35.629999999999995,2.54,2.31
2025-01-02 06:00:00-05:00,43.92,38.16,3.01,2.75
2025-01-02 07:00:00-05:00,51.29,41.61,6.56,3.12
2025-01-02 08:00:00-05:00,50.87,41.56999999999999,6.06,3.24
2025-01-02 09:00:00-05:00,48.92,41.120000000000005,4.43,3.37
2025-01-02 10:00:00-05:00,48.35,41.870000000000005,3.01,3.47
2025-01-02 11:00:00-05:00,47.33,40.92,2.97,3.44
2025-01-02 12:00:00-05:00,46.25,40.059999999999995,2.74,3.45
2025-01-02 13:00:00-05:00,47.55,41.37,2.62,3.56
2025-01-02 14:00:00-05:00,48.17,41.1,3.53,3.54
2025-01-02 15:00:00-05:00,52.48,43.309999999999995,5.49,3.68
2025-01-02 16:00:00-05:00,61.44,49.54,7.44,4.46
2025-01-02 17:00:00-05:00,75.3,55.10000000000001,15.02,5.18
2025-01-02 18:00:00-05:00,80.38,55.03999999999999,20.44,4.9
2025-01-02 19:00:00-05:00,73.13,49.24,19.65,4.24
2025-01-02 20:00:00-05:00,62.28,49.040000000000006,9.22,4.02
2025-01-02 21:00:00-05:00,52.22,45.84,2.71,3.67
2025-01-02 22:00:00-05:00,48.47,43.28,1.86,3.33
2025-01-02 23:00:00-05:00,45.88,41.040000000000006,1.97,2.87
2025-01-03 00:00:00-05:00,47.57,41.400000000000006,3.44,2.73
2025-01-03 01:00:00-05:00,45.57,39.42,3.62,2.53
2025-01-03 02:00:00-05:00,44.94,38.78,3.72,2.44
2025-01-03 03:00:00-05:00,45.59,39.42,3.61,2.56
2025-01-03 04:00:00-05:00,46.67,40.61,3.42,2.64
2025-01-03 05:00:00-05:00,51.94,46.54,2.51,2.89
2025-01-03 06:00:00-05:00,59.1,53.940000000000005,1.44,3.72
2025-01-03 07:00:00-05:00,62.13,54.99,2.58,4.56
2025-01-03 08:00:00-05:00,65.55,55.05,5.77,4.73
2025-01-03 09:00:00-05:00,67.65,54.150000000000006,9.12,4.38
2025-01-03 10:00:00-05:00,61.64,52.5,4.94,4.2
2025-01-03 11:00:00-05:00,61.56,52.260000000000005,4.97,4.33
2025-01-03 12:00:00-05:00,60.36,50.84,5.45,4.07
2025-01-03 13:00:00-05:00,61.56,51.88000000000001,5.27,4.41
2025-01-03 14:00:00-05:00,65.16,54.97999999999999,5.23,4.95
