timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,28.1,31.86,-0.0,-3.76
2025-01-01 01:00:00-05:00,27.2,30.8,-0.0,-3.6
2025-01-01 02:00:00-05:00,25.0,28.86,-0.4,-3.46
2025-01-01 03:00:00-05:00,22.94,27.270000000000003,-1.14,-3.19
2025-01-01 04:00:00-05:00,23.0,27.19,-0.95,-3.24
2025-01-01 05:00:00-05:00,23.0,29.08,-2.33,-3.75
2025-01-01 06:00:00-05:00,25.92,29.76,-0.0,-3.84
2025-01-01 07:00:00-05:00,25.13,29.63,-0.0,-4.5
2025-01-01 08:00:00-05:00,26.92,31.9,-0.0,-4.98
2025-01-01 09:00:00-05:00,27.27,32.39,-0.0,-5.12
2025-01-01 10:00:00-05:00,30.05,35.27,-0.0,-5.22
2025-01-01 11:00:00-05:00,29.75,35.46,-0.04,-5.67
2025-01-01 12:00:00-05:00,30.19,36.220000000000006,-0.34,-5.69
2025-01-01 13:00:00-05:00,30.23,36.67,-0.61,-5.83
2025-01-01 14:00:00-05:00,31.18,37.03,-0.0,-5.85
2025-01-01 15:00:00-05:00,30.99,36.8,-0.0,-5.81
2025-01-01 16:00:00-05:00,33.41,39.71999999999999,-0.04,-6.27
2025-01-01 17:00:00-05:00,38.67,50.50000000000001,-3.85,-7.98
2025-01-01 18:00:00-05:00,36.26,43.47,-0.3,-6.91
2025-01-01 19:00:00-05:00,34.06,40.66,-0.01,-6.59
2025-01-01 20:00:00-05:00,32.47,38.25,-0.0,-5.78
2025-01-01 21:00:00-05:00,29.19,34.02,-0.0,-4.83
2025-01-01 22:00:00-05:00,26.69,31.4,-0.0,-4.71
2025-01-01 23:00:00-05:00,27.12,31.5,-0.0,-4.38
2025-01-02 00:00:00-05:00,30.24,34.92,-0.0,-4.68
2025-01-02 01:00:00-05:00,30.17,34.32,-0.0,-4.15
2025-01-02 02:00:00-05:00,27.62,31.53,-0.0,-3.91
2025-01-02 03:00:00-05:00,26.05,29.84,-0.0,-3.79
2025-01-02 04:00:00-05:00,28.31,32.43,-0.0,-4.12
2025-01-02 05:00:00-05:00,31.24,35.62,-0.0,-4.38
2025-01-02 06:00:00-05:00,33.42,38.150000000000006,-0.0,-4.73
2025-01-02 07:00:00-05:00,35.53,41.61,-0.0,-6.08
2025-01-02 08:00:00-05:00,35.54,41.57,-0.0,-6.03
2025-01-02 09:00:00-05:00,35.3,41.12,0.43,-6.25
2025-01-02 10:00:00-05:00,34.6,41.870000000000005,-1.28,-5.99
2025-01-02 11:00:00-05:00,34.82,40.93,-0.05,-6.06
2025-01-02 12:00:00-05:00,34.0,40.07,-0.02,-6.05
2025-01-02 13:00:00-05:00,35.22,41.379999999999995,-0.04,-6.12
2025-01-02 14:00:00-05:00,34.92,41.1,-0.06,-6.12
2025-01-02 15:00:00-05:00,36.74,43.31,-0.16,-6.41
2025-01-02 16:00:00-05:00,40.0,49.54,-2.26,-7.28
2025-01-02 17:00:00-05:00,46.72,55.09,-0.22,-8.15
