timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,22.69,31.86,-8.34,-0.83
2025-01-01 01:00:00-05:00,20.73,30.81,-9.31,-0.77
2025-01-01 02:00:00-05:00,20.35,28.86,-7.76,-0.75
2025-01-01 03:00:00-05:00,20.21,27.26,-6.32,-0.73
2025-01-01 04:00:00-05:00,20.83,27.18,-5.59,-0.76
2025-01-01 05:00:00-05:00,21.34,29.08,-6.87,-0.87
2025-01-01 06:00:00-05:00,22.96,29.76,-5.94,-0.86
2025-01-01 07:00:00-05:00,28.2,29.63,-0.45,-0.98
2025-01-01 08:00:00-05:00,26.3,31.9,-4.48,-1.12
2025-01-01 09:00:00-05:00,26.01,32.38,-5.27,-1.1
2025-01-01 10:00:00-05:00,27.11,35.269999999999996,-7.07,-1.09
2025-01-01 11:00:00-05:00,26.93,35.46,-7.5,-1.03
2025-01-01 12:00:00-05:00,26.64,36.22,-8.64,-0.94
2025-01-01 13:00:00-05:00,25.81,36.67,-9.94,-0.92
2025-01-01 14:00:00-05:00,25.35,37.03,-10.57,-1.11
2025-01-01 15:00:00-05:00,26.48,36.8,-9.29,-1.03
2025-01-01 16:00:00-05:00,30.6,39.72,-8.33,-0.79
2025-01-01 17:00:00-05:00,35.58,50.5,-13.96,-0.96
2025-01-01 18:00:00-05:00,32.45,43.48,-10.2,-0.83
2025-01-01 19:00:00-05:00,31.19,40.66,-8.61,-0.86
2025-01-01 20:00:00-05:00,30.74,38.239999999999995,-6.66,-0.84
2025-01-01 21:00:00-05:00,28.46,34.019999999999996,-4.91,-0.65
2025-01-01 22:00:00-05:00,26.22,31.4,-4.49,-0.69
2025-01-01 23:00:00-05:00,24.13,31.49,-6.64,-0.72
2025-01-02 00:00:00-05:00,26.77,34.91,-7.3,-0.84
2025-01-02 01:00:00-05:00,27.32,34.33,-6.29,-0.72
2025-01-02 02:00:00-05:00,23.69,31.520000000000003,-7.14,-0.69
2025-01-02 03:00:00-05:00,23.74,29.85,-5.45,-0.66
2025-01-02 04:00:00-05:00,25.33,32.42,-6.38,-0.71
2025-01-02 05:00:00-05:00,29.62,35.63,-5.33,-0.68
2025-01-02 06:00:00-05:00,37.7,38.150000000000006,0.08,-0.53
2025-01-02 07:00:00-05:00,44.0,41.61,3.18,-0.79
2025-01-02 08:00:00-05:00,41.06,41.57000000000001,0.16,-0.67
2025-01-02 09:00:00-05:00,34.72,41.13,-5.67,-0.74
2025-01-02 10:00:00-05:00,33.31,41.870000000000005,-8.06,-0.5
2025-01-02 11:00:00-05:00,32.01,40.92,-8.34,-0.57
2025-01-02 12:00:00-05:00,30.92,40.07,-8.59,-0.56
2025-01-02 13:00:00-05:00,30.76,41.38,-10.08,-0.54
2025-01-02 14:00:00-05:00,31.19,41.1,-9.42,-0.49
2025-01-02 15:00:00-05:00,37.39,43.31,-5.4,-0.52
2025-01-02 16:00:00-05:00,45.0,49.55,-4.1,-0.45
2025-01-02 17:00:00-05:00,56.0,55.09,1.29,-0.38
2025-01-02 18:00:00-05:00,51.8,55.04,-2.64,-0.6
2025-01-02 19:00:00-05:00,49.7,49.25000000000001,1.04,-0.59
2025-01-02 20:00:00-05:00,42.5,49.04,-5.71,-0.83
2025-01-02 21:00:00-05:00,37.39,45.84,-7.63,-0.82
2025-01-02 22:00:00-05:00,33.42,43.28,-9.12,-0.74
2025-01-02 23:00:00-05:00,32.19,41.04,-8.24,-0.61
2025-01-03 00:00:00-05:00,33.92,41.4,-6.94,-0.54
2025-01-03 01:00:00-05:00,32.1,39.42,-6.77,-0.55
2025-01-03 02:00:00-05:00,30.26,38.77,-7.97,-0.54
2025-01-03 03:00:00-05:00,28.7,39.42,-10.21,-0.51
2025-01-03 04:00:00-05:00,30.39,40.620000000000005,-9.7,-0.53
2025-01-03 05:00:00-05:00,36.66,46.55,-9.42,-0.47
2025-01-03 06:00:00-05:00,46.25,53.940000000000005,-6.99,-0.7
2025-01-03 07:00:00-05:00,54.58,54.98,0.37,-0.77
2025-01-03 08:00:00-05:00,48.21,55.05,-6.12,-0.72
2025-01-03 09:00:00-05:00,39.77,54.150000000000006,-13.46,-0.92
2025-01-03 10:00:00-05:00,42.42,52.5,-9.19,-0.89
