timestamps,prices,energy,congestion,loss
2025-01-01 00:00:00-05:00,28.77,31.86,-0.0,-3.09
2025-01-01 01:00:00-05:00,27.85,30.81,-0.0,-2.96
2025-01-01 02:00:00-05:00,26.01,28.87,-0.0,-2.86
2025-01-01 03:00:00-05:00,24.65,27.27,-0.0,-2.62
2025-01-01 04:00:00-05:00,24.46,27.18,-0.0,-2.72
2025-01-01 05:00:00-05:00,25.85,29.08,-0.0,-3.23
2025-01-01 06:00:00-05:00,26.4,29.76,-0.0,-3.36
2025-01-01 07:00:00-05:00,25.69,29.630000000000003,-0.0,-3.94
2025-01-01 08:00:00-05:00,27.47,31.9,-0.0,-4.43
2025-01-01 09:00:00-05:00,27.82,32.38,-0.0,-4.56
2025-01-01 10:00:00-05:00,30.65,35.269999999999996,-0.0,-4.62
2025-01-01 11:00:00-05:00,30.52,35.459999999999994,-0.05,-4.89
2025-01-01 12:00:00-05:00,31.06,36.22,-0.42,-4.74
2025-01-01 13:00:00-05:00,31.06,36.68,-0.74,-4.88
2025-01-01 14:00:00-05:00,31.7,37.03,-0.0,-5.33
2025-01-01 15:00:00-05:00,31.5,36.8,-0.0,-5.3
2025-01-01 16:00:00-05:00,34.31,39.72,-0.05,-5.36
2025-01-01 17:00:00-05:00,39.45,50.5,-4.44,-6.61
2025-01-01 18:00:00-05:00,37.29,43.47,-0.36,-5.82
2025-01-01 19:00:00-05:00,35.08,40.66,-0.01,-5.57
2025-01-01 20:00:00-05:00,33.01,38.25,-0.0,-5.24
2025-01-01 21:00:00-05:00,29.67,34.02,-0.0,-4.35
2025-01-01 22:00:00-05:00,27.13,31.4,-0.0,-4.27
2025-01-01 23:00:00-05:00,27.53,31.5,-0.0,-3.97
2025-01-02 00:00:00-05:00,30.76,34.92,-0.0,-4.16
2025-01-02 01:00:00-05:00,30.68,34.32,-0.0,-3.64
2025-01-02 02:00:00-05:00,28.03,31.53,-0.0,-3.5
2025-01-02 03:00:00-05:00,26.44,29.84,-0.0,-3.4
2025-01-02 04:00:00-05:00,28.79,32.42,-0.0,-3.63
2025-01-02 05:00:00-05:00,31.81,35.62,-0.0,-3.81
2025-01-02 06:00:00-05:00,34.07,38.15,-0.0,-4.08
2025-01-02 07:00:00-05:00,36.41,41.61,-0.0,-5.2
2025-01-02 08:00:00-05:00,36.33,41.57,-0.0,-5.24
2025-01-02 09:00:00-05:00,36.08,41.12,0.47,-5.51
2025-01-02 10:00:00-05:00,35.6,41.87,-1.54,-4.73
2025-01-02 11:00:00-05:00,35.92,40.92,-0.09,-4.91
2025-01-02 12:00:00-05:00,35.14,40.07,-0.04,-4.89
2025-01-02 13:00:00-05:00,36.35,41.39,-0.07,-4.97
2025-01-02 14:00:00-05:00,36.05,41.099999999999994,-0.12,-4.93
